language,location,message
en,,RT @NotreDame: The bells of the @ndbasilica tolled 50 times — representing the 50 Hail Marys of Our Lady’s rosary — at 6 p.m. today to mark…
en,,RT @NotreDame: “We join in prayer with the faithful of the Cathedral of Notre-Dame in Paris and all of France as they begin the work of reb…
en,International,"RT @nllumiere: How to DONATE to rebuilding NOTRE DAME de PARIS:   

FRIENDS OF NOTRE DAME: https://t.co/46mvHVKvbh   
   
FRENCH HERITAGE S…"
fr,,Huffingtonpost - Black Churches Burned By Arson See Donations Surge After Notre Dame Fire https://t.co/w2y06tRxUM https://t.co/nYO2w6VMCC
fr,,Huffingtonpost - Black Churches Burned By Arson See Donations Surge After Notre Dame Fire https://t.co/KZFRrWYEjQ https://t.co/WcChb7fNiv
en,Catholic Church,"Investigators are making excuses, ""We may never know who was behind this fire"" https://t.co/ifnWPX3fbR"
en,United Kingdom,RT @UK_FranceFR: An incredible wave of solidarity has risen over the past few days to save and rebuild #NotreDame. We just want to thank yo…
en,"Bethoncourt, France","RT @carolineporot: Colossus, le #robot 👨‍🚒 🚒🚨https://t.co/afhUV29H7M"
en,Ireland,"RT @RorateCaeli: Wonderful!

The copper Rooster that topped the collapsed spire of Notre-Dame de Paris has been found and the debris, with…"
en,"Kansas City, Mo.","A hero emerging from the Notre Dame Cathedral fire is Fr. Jean-Marc Fournier, chaplain of the Paris Fire Brigade, w… https://t.co/HYEFTc3eaF"
en,Rome - Hamburg - New York - Krakow - Chicago - Munich,"Paris Hero Is A Traditionalist

The chaplain of the Paris firefighters, Fr. Jean-Marc Fournier— former assistant to… https://t.co/dWmeh5qyyD"
es,,"RT @chynafromindy: notre dame: *is on fire*

ppl with photos of them abroad in paris: https://t.co/MtUuUMkiZv"
en,"Florence, Italy","First Paris Notre-Dame rebuilding estimates are ~ €1bn

~ €500m have already being offered by French super-wealthy… https://t.co/1Dy7sKbml0"
en,"Geneva, Switzerland",RT @odairpmateus: #Muslim Council of France calls Muslims to express solidarity and offer financial support to the rebuilding of Notre Dame…
en,Geneve,RT @odairpmateus: #Muslim Council of France calls Muslims to express solidarity and offer financial support to the rebuilding of Notre Dame…
en,Within the mind ,"RT @HenryMakow: ""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circuit, fro…"
