language,location,message
fr,Paris,RT @le_Parisien: Notre-Dame de Paris : l’hommage des pompiers de New York à leurs collègues https://t.co/fBJ2cy3IMG
en,"Costa Mesa, CA","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,Little Isreal,"https://t.co/0FoRyuGcgj 
 https://t.co/ajjDUCH9Sa"
en,United States,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
fr,,"RT @aCactusHuman: Jvois tout le monde pleurer Notre Dame mais quand Poudlard a été détruit pendant la bataille finale y a personne qui a sorti son chéquier, vous avez vraiment pas le sens des priorités."
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Cleveland, OH","RT @n_yang: The bees are alive! PARIS (AP) — The 180,000 bees kept in hives in Notre Dame Cathedral that were thought to have perished in this week's fire have been discovered alive."
es,,"Que bueno es ver a @PabloFuente deleitándonos con su sabiduría y su encomiable trabajo, hablando de bulos relacionados con la actualidad de Notre Dame y ""noticias derivadas"" #MilenioLive @navedelmisterio https://t.co/bEkfsZv4LS"
en,"Ministry of Magic, London",RT @TrueFactsStated: ‘It’s a miracle’: hundreds of thousands of bees survive Notre Dame fire | Notre Dame | The Guardian https://t.co/va0h6TTvPp
en,,"RT @tamwb: บทความของ the new york times อธิบายไฟไหม้ #notredame เข้าใจง่ายมาก :)
https://t.co/hxA3TWQRkj"
es,"Quito, Ecuador",RT @ActualidadRT: La activista sueca de 15 años Greta Thunberg compara Notre Dame con el medio ambiente y es incapaz de continuar su discurso de la emoción https://t.co/eMdJA7D0G5
en,"Uşak, Türkiye",Notre Dame Katedrali için yardım yarışı başladı! https://t.co/NyR8CMyoQ3 https://t.co/0eCnHrmoFk
fr,,"RT @aCactusHuman: Jvois tout le monde pleurer Notre Dame mais quand Poudlard a été détruit pendant la bataille finale y a personne qui a sorti son chéquier, vous avez vraiment pas le sens des priorités."
en,"Edmond, OK","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"San Francisco, CA",RT @GuyKawasaki: Where to donate to support Notre Dame: https://t.co/6QajWUCFiI
en,,"Bush did 9/11  
&amp;
Cersei did Notre Dame"
tr,,Notre Dame Katedrali için yardım yarışı başladı! https://t.co/nPpFPTLLcA https://t.co/UdeXjyPEh6
fr,,"RT @etiennebft: Emmanuel Macron : Il n'y a pas d'argent magique !

Notre-Dame : *brule*

L'argent magique : https://t.co/OCmrT3B8OH"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
es,,"RT @Tuttocorrotto: Piñera quiere cooperar con madera y cobre para Notre Dame. Que rajas tan levantadas no?, y ni ven a la pobre gente que vive en Chile en campamentos, incluso cerca de  basurales, y áreas contaminadas. Cuánta soberbia y displicencia con los propios compatriotas POBRES."
es,"Carabobo, Venezuela","RT @daoryebba: @GiuseppeNoc @MovilupPolitic @xxT1KExx @Noralex06 @DacervantesP @maruvilla @OviedoFanny @MyrianeLibre @TRUESTEEL3 @NOmasCNE @NENA7ESTRELLAS @_Gabbyta_ @LatAmFr @omarbula @Marcos54909144 @OrhVenezuela @magepetorr @geopolytica @habalianelie @EleonoreNemethM @RICHINFE @Panama6715 @MIRANDALIBER24 @aba261 @nejoviro @Purpura007 @genova1956 @MagalyPatio3 @Adelkiiis @alenwriter @myriamwinner1 @FernandoAmandi @esferaceleste @FernandoCorreaJ @MiguelABernalV @estebangerbasi @Movil @alekboyd @linaresfulo @realCarola2Hope Sera que la tragedia de Notre Dame ayuda a Macron politicamente?

Macron ha descartado planes para abordar crisis de los chalecos amarillos tras incendio de la iconica catedral de Notre Dame, afirmando que “no es un momento para la politica""
https://t.co/Hez04dPY6A"
en,Rhode Island,"RT @n_yang: The bees are alive! PARIS (AP) — The 180,000 bees kept in hives in Notre Dame Cathedral that were thought to have perished in this week's fire have been discovered alive."
en,,"RT @Eric0Lawton: Since @DisneyStudios made Pocahontas, I'm wondering what donations they made for Indigenous sacred places destroyed by colonialism?

https://t.co/2A160p8L8B"
en,By the Mississippi,"RT @Eric0Lawton: Since @DisneyStudios made Pocahontas, I'm wondering what donations they made for Indigenous sacred places destroyed by colonialism?

https://t.co/2A160p8L8B"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Cairo , Egypt","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Melbourne, Victoria","RT @ajplus: 180,000 bees that live in the Notre Dame survived the fire. Their beekeeper says the smoke didn't hurt them (since they don't have lungs), it just made them fall asleep. 🐝 https://t.co/462d3sjgfX"
en,Western Australia,"RT @laurasnapes: ""If the ultra-rich can chuck in so many millions of euros for a building, then what stops them ending hunger and poverty?"" https://t.co/sOniOCwQ8w"
fr,France,RT @RomainDsDz: Avec un budget pareil Notre Dame gagnera la Ligue des Champions avant le PSG. Vous l’aurez lui ici en premier.
en,"Weeksville, Brooklyn","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
fr,,Restauration de Notre-Dame : faut-il changer la fiscalité des dons ? https://t.co/oKPWQtyS26
en,"Seattle, WA",@richard2380 Is this the Trumpback of Notre Dame?
en,...ReTRoLaND...,RT @loneblockbuster: How dare you say we're taking advantage of a tragedy. Renting Hunchback of Notre Dame (1996) has always cost 20 bucks.
en,Chocolate City.....BABY!!!,"RT @BillyArmagh: Before the news cycle moves on, please notice and absorb this fact: in a few hours, three billionaires shrugged, yawned, and dropped $752,652,500.00 to rebuild Notre Dame, and that was spare change.

Imagine what we’d build if we taxed our resources back from billionaires."
en,,https://t.co/vyrpyjaZ59
en,"Can I Kick It, CA","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
