ADDRESS,LOCATION_TYPE,LATITUDE,LONGITUDE
'undefined','APPROXIMATE',10.63167,-71.64056
'Kansas City, MO','ROOFTOP',39.102404,-94.598583
'undefined','APPROXIMATE',41.85003,-87.65005
'Pennsylvania, USA','ROOFTOP',40.696298,-77.995133
'undefined','APPROXIMATE',41.03477,-85.35553
'undefined','APPROXIMATE',52.16045,-0.70312
'undefined','APPROXIMATE',-12.04318,-77.02824
'Dallas, TX','ROOFTOP',32.781179,-96.790329
'undefined','APPROXIMATE',-36,-60
'NYC, LONDON','ROOFTOP',51.5072648,-0.1278328
'undefined','APPROXIMATE',18.79038,98.98468
'undefined','APPROXIMATE',39.76,-98.5
'San Antonio, TX','ROOFTOP',29.468413,-98.528889
'Detroit, MI','ROOFTOP',42.347021,-83.060184
'Massapequa, NY','ROOFTOP',40.66766,-73.47076
'undefined','APPROXIMATE',13,122
'undefined','APPROXIMATE',19.88333,75.33333
'undefined','APPROXIMATE',-23.4933,-61.9267
'undefined','APPROXIMATE',40.16706,-74.49987
'undefined','APPROXIMATE',57.05,18.2667
'Pleasant Hill, CA','ROOFTOP',37.957572,-122.077774
'undefined','APPROXIMATE',39.95234,-75.16379
'undefined','APPROXIMATE',-34.79721,-58.38351
'undefined','APPROXIMATE',-5,-63
'undefined','APPROXIMATE',-5,-63
'undefined','APPROXIMATE',-31.5667,-58.525
'undefined','APPROXIMATE',38.91706,-77.00025
'Cincinnati, Ohio','ROOFTOP',39.166759,-84.53822
'Chicago, Illinois','ROOFTOP',41.902042,-87.658544
'undefined','APPROXIMATE',-23.01528,-48.01056
'undefined','APPROXIMATE',7.12539,-73.1198
'undefined','APPROXIMATE',13.68935,-89.18718
'undefined','APPROXIMATE',19.42847,-99.12766
'undefined','APPROXIMATE',53.48095,-2.23743
'Pittsburgh, PA','ROOFTOP',40.47441,-79.950968
'undefined','APPROXIMATE',45.50032,-69.24977
'undefined','APPROXIMATE',32.08088,34.78057
'undefined','APPROXIMATE',-33.86785,151.20732
'undefined','APPROXIMATE',-37,145
'Brunswick, GA','ROOFTOP',31.180919,-81.493973
'undefined','APPROXIMATE',54.58333,-5.93333
'Kennesaw, GA','ROOFTOP',34.03384,-84.597433
'Budd Lake, NJ','ROOFTOP',40.880028,-74.75756
'undefined','APPROXIMATE',23,-102
'undefined','APPROXIMATE',-30.03306,-51.23
'undefined','APPROXIMATE',47.00025,-109.75102
'undefined','APPROXIMATE',39.00027,-105.50083
'Panama City, Florida 32401','ROOFTOP',30.159737,-85.660922
'undefined','APPROXIMATE',13.68935,-89.18718
'Orlando, FL','ROOFTOP',28.545179,-81.373291
'the Wilds of Virginia','ROOFTOP',36.998417,-76.376682
'undefined','APPROXIMATE',15,-86.5
'undefined','APPROXIMATE',40.16706,-74.49987
'undefined','APPROXIMATE',31.25044,-99.25061
'Port Isabel, TX','ROOFTOP',26.07341,-97.20858
'undefined','APPROXIMATE',-19.96778,-44.19833
'undefined','APPROXIMATE',8,-66
'San Francisco, California','ROOFTOP',35.187133,-117.885359
'undefined','APPROXIMATE',-23.7917,132.6818
'Ktown,NC','ROOFTOP',35.257579,-76.991491
'undefined','APPROXIMATE',37.77493,-122.41942
'undefined','APPROXIMATE',32.75041,-89.75036
'undefined','APPROXIMATE',-34,-64
'undefined','APPROXIMATE',-6.11,-37.63667
'Memphis, TN','ROOFTOP',35.169255,-89.990415
'Southport, CT','ROOFTOP',41.143396,-73.289859
'undefined','APPROXIMATE',31.5,34.75
'Washington, DC','ROOFTOP',38.895112,-77.036366
'Long Beach, CA','ROOFTOP',33.803448,-118.168135
'undefined','APPROXIMATE',36.17497,-115.13722
'Beverly Hills, CA','ROOFTOP',33.786594,-118.298662
'undefined','APPROXIMATE',-35.4264,-71.65542
'undefined','APPROXIMATE',41.65518,-4.72372
'undefined','APPROXIMATE',20,77
'undefined','APPROXIMATE',-19.92083,-43.93778
'undefined','APPROXIMATE',47.60621,-122.33207
'Blackshear, GA/Sebastian, FL','ROOFTOP',27.795159,-80.48837
'undefined','APPROXIMATE',-23.4933,-61.9267
'undefined','APPROXIMATE',-29,24
'Mckinney, TX','ROOFTOP',33.181157,-96.497182
'undefined','APPROXIMATE',25.8576,-80.27811
'undefined','APPROXIMATE',38,-97
'undefined','APPROXIMATE',39.6945,-8.13057
'undefined','APPROXIMATE',38.89511,-77.03637
'undefined','APPROXIMATE',31.5,34.75
'new york new york','ROOFTOP',40.714269,-74.005973
'undefined','APPROXIMATE',40.00032,-89.25037
'Austin, TX','ROOFTOP',30.326374,-97.771258
'undefined','APPROXIMATE',40.25034,-83.00018
'undefined','APPROXIMATE',39.162,-84.45689
'undefined','APPROXIMATE',-31.95224,115.8614
'undefined','APPROXIMATE',40.80788,-73.94542
'Grand Island, Nebraska ','ROOFTOP',40.707742,-95.907718
'undefined','APPROXIMATE',28.75054,-82.5001
'undefined','APPROXIMATE',41.18389,-8.14864
'undefined','APPROXIMATE',10,-84
'undefined','APPROXIMATE',47.50012,-120.50147
'undefined','APPROXIMATE',7,-73.25
'undefined','APPROXIMATE',11.24079,-74.19904
'undefined','APPROXIMATE',-10,-55
'Helena, Alabama ','ROOFTOP',33.266341,-86.901975
'undefined','APPROXIMATE',30.26715,-97.74306
'undefined','APPROXIMATE',-33.45694,-70.64827
'Hinsdale, il','ROOFTOP',41.800683,-87.928173
'undefined','APPROXIMATE',53,-8
'undefined','APPROXIMATE',31.1801,-91.8749
'Ann Arbor, MI','ROOFTOP',42.266638,-83.849042
'undefined','APPROXIMATE',-22.90278,-43.2075
'undefined','APPROXIMATE',48.11198,-1.67429
'undefined','APPROXIMATE',49.11911,6.17269
'undefined','APPROXIMATE',-43.24895,-65.30505
'undefined','APPROXIMATE',47.60621,-122.33207
'undefined','APPROXIMATE',35.6895,139.69171
'undefined','APPROXIMATE',-36,-60
'undefined','APPROXIMATE',32.75042,-83.50018
'undefined','APPROXIMATE',13.08784,80.27847
'undefined','APPROXIMATE',23.04111,-81.5775
'undefined','APPROXIMATE',-22.90278,-43.2075
'undefined','APPROXIMATE',55.7666,-120.23616
'undefined','APPROXIMATE',-34,-64
'undefined','APPROXIMATE',53.99983,-125.0032
'undefined','APPROXIMATE',-34.64167,-60.47389
'undefined','APPROXIMATE',44.25029,-85.50033
'undefined','APPROXIMATE',46.33333,2.6
