VISLAT,VISLONG,REALLAT,REALLONG,NEWLAT,NEWLONG
700297,8999995,-41.85003,87.65005,41.85003,-87.65005
7175578,4555740,22.90278,43.2075,-22.90278,-43.2075
-41,110,-48.85341,-2.3488,48.85341,2.3488
2220710.5,8278016.9,-26.645895,80.430269,26.645895,-80.430269
1287798,8248334.2,-35.97502,80.133442,35.97502,-80.133442
3885300,-565010,-10,-8,10,8
461959,7066936,-44.23341,68.31946,44.23341,-68.31946
7175856,4941073,22.90556,47.06083,-22.90556,-47.06083
-168585,728654,-50.53885,4.93664,50.53885,-4.93664
1157882.5,8230776,-37.274175,79.95786,37.274175,-79.95786
4085300,6834990,-8,66,8,-66
2010246,8485000,-28.75054,82.5001,28.75054,-82.5001
7885300,7334990,30,71,-30,-71
4635300,-11015010,-2.5,-112.5,2.5,112.5
8285300,6634990,34,64,-34,-64
42694,392421,-48.42606,1.57431,48.42606,-1.57431
-472232,-766544,-53.57532,-10.01534,53.57532,10.01534
815986.3,9193974.7,-40.693137,89.589847,40.693137,-89.589847
1540462,11442394,-33.44838,112.07404,33.44838,-112.07404
1258635,11994258.6,-36.26665,117.592686,36.26665,-117.592686
1316350,-13734181,-35.6895,-139.69171,35.6895,139.69171
1013633,1148323,-38.71667,9.13333,38.71667,-9.13333
700296.7,8999995.2,-41.850033,87.650052,41.850033,-87.650052
6685300,4634990,18,44,-18,-44
124679,12468197,-47.60621,122.33207,47.60621,-122.33207
-1047958,-1571500,-59.33258,-18.0649,59.33258,18.0649
815670.2,8034503.3,-40.696298,77.995133,40.696298,-77.995133
633904,7869650,-42.51396,76.3466,42.51396,-76.3466
560762,791280,-43.24538,5.5629,43.24538,-5.5629
-41,110,-48.85341,-2.3488,48.85341,2.3488
-39714,8684973,-49.25014,84.49983,49.25014,-84.49983
938633,1054990,-39.46667,8.2,39.46667,-8.2
648735,7345822,-42.36565,71.10832,42.36565,-71.10832
2942453,10147756,-19.42847,99.12766,19.42847,-99.12766
6089618,7937814,12.04318,77.02824,-12.04318,-77.02824
1420973.5,12060731.6,-34.643265,118.257416,34.643265,-118.257416
-265426.48,247773.28,-51.5072648,0.1278328,51.5072648,-0.1278328
843650,605246,-40.4165,3.70256,40.4165,-3.70256
1372737.6,12037125.3,-35.125624,118.021353,35.125624,-118.021353
757541.8,7886179.3,-41.277582,76.511893,41.277582,-76.511893
1923268.8,9795559.3,-29.620312,95.605693,29.620312,-95.605693
831127,8214912,-40.54173,79.79922,40.54173,-79.79922
