language,location,message
en,,"RT @humansofny: “My husband and I are leaving Paris after ten years.  We have so many memories in this garden.  Our first date was at a nearby café.  We ate chicken with coconut sauce and walked down Boulevard St. Michel.  We sat in front of Notre Dame for a long time.  We kissed.  And this..."" https://t.co/1o1k851ZHk"
es,Zaragoza-Belchite,"RT @jonathanmartinz: ¿Será capaz Pablo Casado de utilizar el incendio de Notre Dame para atacar a la izquierda? Sí, será capaz. Siguiente pregunta. https://t.co/vmwMO4Ltab"
fr,,"RT @MadamePeel21: « Plus de 800 millions de dons récoltés en 24h pour la reconstruction de Notre Dame »

Le Téléthon, les resto du cœur et le Sidaction:

 https://t.co/BA6aSv1ScH"
ja,,"RT @shinobuns: 大聖堂に隣接した建物の屋上の巣箱にいたミツバチ約200,000匹は無事。当初は火災に巻き込まれたと考えられていたが、鎮火後に衛星写真で巣を出入りしている様子が確認できたとのこと。：Notre-Dame: les abeilles sont sauvées https://t.co/ybAKR8wFft"
en,New Zealand,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
fr,Planète Kaiō,"RT @DoubleCordon: ""Montant : 3.35€ 
Arrondir à 4€ pour rebâtir Notre Dame de Paris avec la fondation de France ?"" https://t.co/wljgEM6Jhu"
en,🇪🇺Crete/UK,RT @IsabelMaria100: Imagine if all the billionaires prepared to give their money to re store Notre-Dame cared enough to actually try and improve the world and save it from Climate Change and Pollution. Imagine what a difference they could actually make if they cared #ClimateCatastrophe
pt,Portugal,"First of all, I want to give a huge thanks to @Jaelle_G for helping me with the tool!
Go give a look at their photos, you won't regret it!

No need to say that I'm having a blast.
Unity is my fav AC and I always wished it had photomode.

Notre-Dame for you, guys.

#AssassinsCreed https://t.co/wYqlhEe52A"
pt,no Retrocesso - BRASIL,"RT @gerdwenzel: Franceses injuriados com a repentina generosidade seletiva dos bilionários. ""Victor Hugo agradece aos generosos doadores dispostos a salvar Notre-Dame e propõe que eles façam o mesmo com os Miseráveis"" disse o filósofo e romancista Olivier Pourriol.  https://t.co/sC1sEyw7Uj"
es,,"RT @ParisAMDParis: Deux femmes contemplant Paris du haut de Notre-Dame
1920s https://t.co/91LNlkK3gi"
