language,location,message
en,,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
en,,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
pt,"Manaus, Brasil",RT @mathvena_: É curioso que a tragédia de Notre Dame (sem vítimas) teve muito mais comoção e repercussão que os atentados de hoje no Sri Lanka (+ de 200 mortos) :/
en,"Florida, USA","RT @The_Trump_Train: The mainstream media ridiculed people for donating to the Notre Dame Cathedral more than the terrorists responsible for murdering 200+ Christians in Sri Lanka.

Make no mistake, there’s a war on Christianity."
es,Caracas - Venezuela,"El emotivo víacrucis luego de la tragedia de Notre Dame         ,,         https://t.co/RGqp0hQU6A"
en,"Boston, MA",RT @BestBees: Phoenix bees! Let Notre Dame be a model for resiliency in urban ecology. https://t.co/oe46H9909f
fr,"Lille, France","RT @gonsaenzdemiera: Si en tres días, 5 millonarios franceses han prometido casi 1.000 millones de euros para reconstruir Notre Dame, no es posible conseguir los 200.000 millones anuales que según la ONU se requiere para erradicar el hambre en el mundo?  https://t.co/2G6Wjjbsql"
en,"Lagos, Nigeria","RT @AfricaFactsZone: Morocco becomes the first African country to pledge to donate to Notre Dame in France, which $1 billion was raised for in 48 hours. Ivorian King, Amon Ndouffou V also pledged to donate. Neither donated to Malawi, Zimbabwe &amp; Mozambique after Cyclone Idai, which they need $2bn for."
es,"Cataluña, España","RT @EugeniodOrs_: Jo, cómo ha quedado Notre Dame.

Uy no, que es la catedral de Oviedo, incendiada por la izquierda obrera y revolucionaria en 1934. https://t.co/FbMnId4mTy"
en,,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
es,"Los Ángeles, Chile","RT @waldocarrasco: Nuestra Notre Dame de calle Huerfanos abandonada a su suerte, para ella no alcanza ni madera ni cobre ofrecida por @sebastianpinera para “reconstruir” la de Paris. https://t.co/xG9nsZ64kN"
en,The Road,"RT @telesurenglish: #France | #YellowVests protesters took to the streets of Paris ​​​​​​ and other cities of France for the 23rd consecutive national protest against the policies of the right-wing government of Emmanuel #Macron
https://t.co/kCMUPS9E9o"
es,idk,"RT @1999santys: si tuvieras €200.000.000
¿que elegirías?

A) restaurar la catedral de notre dame
B) cargarlo en la sube"
en,,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
en,,"RT @DSAMikeP: ""Let's make something ugly on purpose just to spite people I hate.""

https://t.co/iEMOgPt6nU"
en,"Dalhart, TX",Investigators Trace Cause Of Notre Dame Fire To Cathedral’s Outdated 12th-Century Electrical System https://t.co/eYpTWD5OkU
en,"Hyde Park, Chicago","CTS associate professor Rev. Dr. JoAnne Marie Terrell spoke with the Chicago Tribune about the recent Notre Dame church fire and how many Chicago-area congregations rose from the ashes.

#notredame #church #eastersunday #riseagain #leadersforthenext https://t.co/TMj67RbyqF"
pt,"Cachoeiras de Macacu, Brasil",RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
pt,Brasília,RT @futtmais: Linda camisa do PSG para Notre-Dame. https://t.co/AjTIzsy23Z
pt,"São Paulo, Brasil",RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
id,"Kota Malang, Jawa Timur","RT @Ny_AzizAlSaggaf: “Tolak Komunisme”

Ketika dunia menangisi terbakarnya Gereja Notre Dame di Paris.
Masjid2 di China diam2 dihancurkan Pemerintah. Salah satunya Masjid Keriya, milik muslim Uighur.
Cukuplah Allah sebaik2nya penolong dan pelindung bagi kami. https://t.co/bmNniC8pvp"
pt,"Abrantes, Portugal","@bernardodpereir Nah Não, vamos todos ver um filme
Até pode ser um documentário sobre a Notre Dame, mas VAMOS VER UM FILME CARAMBA"
en,,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
es,"Buenos Aires, Argentina","RT @1999santys: si tuvieras €200.000.000
¿que elegirías?

A) restaurar la catedral de notre dame
B) cargarlo en la sube"
en,,"RT @FaceTheNation: Bob Schieffer reflects on the fire at Notre Dame Cathedral in Paris: Notre Dame reassured us once more that for all the chaos, good people had come together to demonstrate the power of love, and to help us understand who we are. https://t.co/KnAlEYIAxB"
en,Near Northeast - Washington DC,"RT @hilaryagro: If you think the fact that North American twitter freaked out during Notre Dame (deaths: 0) and is barely talking about the tragedy in Sri Lanka (deaths: 207+) isn’t a clear sign of our internalized racism and imperialism, I don’t even know what to tell you"
es,,"RT @TeneisMe: No es París, es Sri Lanka. No es Notre-Dame es una simple iglesia católica que estaba atestada de personas celebrando el domingo de Resurreción. En París no hubo que lamentar víctimas, en Sri Lanka de momento son 207 los muertos. ¿Cuándo comienzan las donaciones millonarias? https://t.co/3N75mh7kqJ"
en,"Texas, USA",RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
es,,"RT @FLagos_Neumann: No hay dinero para acabar con el hambre
No hay dinero para acabar con la pobreza
Piñera ofrece cobre y madera para reconstrucción de Notre Dame 👇 https://t.co/5Vvfr2oIRt"
en,"South Bend, IN","RT @NotreDame: Alleluia! He is risen!

Wishing you a blessed Easter from Notre Dame! https://t.co/B1q2a9Q65P"
en,FL,"RT @herondalest: no one is talking about sri lanka,, some of y’all care more about a building than 130 human lives and it shows. where are the billionaires who donated money to fix notre dame at while the world is in a constant state of violence and war???"
en,"California, USA","RT @RandyLe15721271: This is what the MSM will not show you,nor will they tell you the before the attack on Notre Dame that there were over 100 Churches attacked in France this year.Sweden does not report Isl*mic rapes.They do not report that English cities are now predominantly Musl*m. #ITISHERE
 👇 https://t.co/Cmw3dPGXd5"
en,United States,"RT @JohnTeufelNYC: Joe Biden is the ""donating money to rebuild notre dame"" of presidential candidates"
en,(412) • (215),"RT @ajplus: 180,000 bees that live in the Notre Dame survived the fire. Their beekeeper says the smoke didn't hurt them (since they don't have lungs), it just made them fall asleep. 🐝 https://t.co/462d3sjgfX"
en,,"RT @GEJonathan: I was touched to see iconic Notre Dame, France's great treasure, place of solace, symbol of unity and totem of peace  go up in flames. Notre Dame  for centuries was  a  place of prayer that rallies humanity to Paris.  My thoughts are with the people of France.  GEJ https://t.co/UWVl3qz5fd"
es,⚖️,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
en,the now,"RT @bassamshawl: white ppl care about Notre Dame bc 

1. They've visited &amp; can Instagram it
2. it inspired a Disney movie 
3. It's their favorite college fb team

they don't care about sri Lanka bc 

1. They've never visited bc
      1a. they can't find it on the map"
en,Georgia,"I don't get why people are mad that billionaires are donating to help restore Notre Dame instead of helping the poor. Isn't obvious? If they want help, all they have to do is set themselves on fire."
en,Houston,RT @CNN: The bees living on Notre Dame's roof survived the fire https://t.co/5yJcQaTefg https://t.co/64KvZJ8gPW
en,"Gawler, South Australia",RT @Ri373Ash: Debate deepens over sacred Indigenous trees after Notre Dame fire | The New Daily https://t.co/rCzsyCu0Qn
en,181,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
en,,"RT @BrynneNorton: Notre Dame, dear heart!"
en,,"RT @anugov1: notre dame: *burns down*
y'all: omg rip:(( this is the saddest thing to happen this century omg pray for france
sri lanka: *over 200 people dead from explosions*
y'all:"
en,"Kansas, USA",RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
es,,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
pl,,"RT @delestoile: 🇫🇷 Eyguières w płd. Francji. Ok.16.30 wybuchł pożar w kościele Notre-Dame-de-Grâce z XVIII w. Ogień uszkodził meble. Interweniowało 25 strażaków i żandarmeria. Przyczyna pożaru jest nieznana.
W kościele znajdują się organy, na których w 1839 grywał Szopen.
https://t.co/oZ85OdpA81"
en,"Sao Paulo, Brazil",RT @mathvena_: É curioso que a tragédia de Notre Dame (sem vítimas) teve muito mais comoção e repercussão que os atentados de hoje no Sri Lanka (+ de 200 mortos) :/
en,Minding My Business ❤️,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
