language,location,message
en,,"RT @Amy_Siskind: Notre Dame burning seems a metaphor for our world now burning up in bigotry and hate. But hope shines through, as the blaze is finally controlled and talk of rebuilding begins. So too must we fight for the light, and remember love conquers hate, and we will prevail. #resist"
pt,"Manaus, AM, Brasil",RT @JackPosobiec: Christians singing outside Notre Dame https://t.co/NweAMWUCNF
en,,"RT @JoeBiden: For centuries, Notre Dame Cathedral has withstood wars, revolutions, and the test of time. It is a symbol of faith &amp; a testament to history. And even as our hearts break to see it burn today during the holiest week of the year for Catholics, I have faith that it will rise again."
en,,RT @spectatorindex: BREAKING: French billionaire Francois-Henri Pinault pledges 100 million Euros to rebuilding Notre Dame cathedral
es,"Distrito Federal, México","La trágica historia de Antonieta Rivas Mercado en Notre Dame 😯

#Entretenimiento

Síguenos en Instagram 👉https://t.co/LoX0vvN8kV👈

👇👇Chécate la nota completa en el enlace👇👇 https://t.co/KWdpoV4ieT"
en,,"RT @JoeBiden: For centuries, Notre Dame Cathedral has withstood wars, revolutions, and the test of time. It is a symbol of faith &amp; a testament to history. And even as our hearts break to see it burn today during the holiest week of the year for Catholics, I have faith that it will rise again."
en,"Quezon City, Philippines",The Bells of Notre Dame 💔
en,,"I’ve been watching the Notre Dame cathedral burn, and I’ve been crying with those in Paris. 😭As a former Art student, I studied it, and I can’t believe that such a beautiful piece of art went up in flames today"
ja,愛知県,RT @Reuters: Fire devastates Notre-Dame Cathedral - see the structure: https://t.co/C5RrOchuvh See how the fire unfolded: https://t.co/vy2wID5NXN via @ReutersGraphics https://t.co/6JIrFShrGW
pt,United States,"RT @villela206: Sarkozy entregou a França aos árabes.
Eles invadiram a Europa pela França. 
Estupram, explodem, atacam, impõem terror e medo nas no go zone com a sharia law.
Notre Dame queima pela mãos francesas que deram combustível pro fogo muslim."
es,Ceuta,"RT @Natalia_0rtiz: Hay gente haciendo bromas con el incendio de Notre Dame. No, en serio, de verdad, el asco que pueden dar ciertas personas es infinito. Qué profundamente gilipollas puede llegar a ser el ser humano."
en,"Cleveland, OH, USA.",RT @InfosFrancaises: INCENDIE / NOTRE-DAME : La cathédrale toujours en feu en ce moment. (@alex_fremont) #NotreDame https://t.co/JGgcaoULE6
