language,location,message
en,,"RT @Bafana_Nhlapo: Mozambique has had to surrender it's  sovereignty to the IMF in an attempt to reconstruct. This, in exchange for $118 million dollar credit. About 8000km away, the French received donations of over $660 million in only 3 days for the Notre Dame. ""Black child, you are on your own"" https://t.co/uq3qhkgH7K"
en,"Toronto, Ontario",It's a miracle': hundreds of thousands of #bees survive Notre Dame fire #paris | World news | The Guardian https://t.co/aoKxzC2vGY
en,,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
en,Global,"RT @Fee_Gordon: 🌼What heart warming news! 🐝  Three bee hives at #NotreDameCathedral - each home to about 60,000 bees - survive the terrible fire 🐝 . #Nature is AMAZING💗https://t.co/kSGjaFSAa7"
en,Los Angeles,"RT @meganromer: 2 French billionaires snapped their fingers and raised $300,000,000 for the rebuilding of Notre Dame.

38,000 of us pledged what we could, ranging from $1 to $50,000, in order to raise $2,000,000 to rebuild a few black churches.

That’s what wealth inequality looks like."
en,"Alabama, USA","RT @meganromer: 2 French billionaires snapped their fingers and raised $300,000,000 for the rebuilding of Notre Dame.

38,000 of us pledged what we could, ranging from $1 to $50,000, in order to raise $2,000,000 to rebuild a few black churches.

That’s what wealth inequality looks like."
es,23/11/16▫️Fan Account,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
fr,,RT @mariedesgre: Loin de moi l’idée de mettre la pression à qui que ce soit mais il ne reste plus que 4 ans et 51 semaines pour reconstruire Notre-Dame.
fr,"Orléans, France","RT @Poulin2012: 🔴 Les Milliardaires de Notre-Dame
""Ces oligarques ont le syndrome de Toutankhamon. 
Ils veulent laisser une trace, une lignée dans l’histoire et surtout éviter l’impôt pour choisir où va leur argent.
On veut bien dire merci, du moment qu’ils paient leur part juste d’impôt!"" https://t.co/hUpsFUoNo7"
en,With your parents,RT @ajzfern: Did you know that the $1Billion +  that has been donated to Notre Dame would be enough to clean up all of the Great Pacific Garbage Patch? https://t.co/kHrTm80zCW
